,date,latitude,longitude,year,month,week,dayofweek
0,2011-08-29,42.3916233333333,-88.0891633333333,2011,8,35,0
1,2011-08-29,42.3913483333333,-88.0891633333333,2011,8,35,0
2,2011-08-29,42.3910216666667,-88.0891566666667,2011,8,35,0
3,2011-08-29,42.3906366666667,-88.0891583333333,2011,8,35,0
4,2011-08-29,42.39041,-88.0888583333333,2011,8,35,0
5,2011-08-29,42.390395,-88.088315,2011,8,35,0
6,2011-08-29,42.3906733333333,-88.0880016666667,2011,8,35,0
7,2011-08-29,42.3910266666667,-88.0880016666667,2011,8,35,0
8,2011-08-29,42.3914033333333,-88.0880033333333,2011,8,35,0
9,2011-08-29,42.3917183333333,-88.087995,2011,8,35,0
10,2011-08-29,42.3920383333333,-88.0879883333333,2011,8,35,0
11,2011-08-29,42.39241,-88.0880783333333,2011,8,35,0
12,2011-08-29,42.3928,-88.0883316666667,2011,8,35,0
13,2011-08-29,42.3932566666667,-88.08837,2011,8,35,0
14,2011-08-29,42.3936,-88.0882316666667,2011,8,35,0
15,2011-08-29,42.3932033333333,-88.0884166666667,2011,8,35,0
16,2011-08-29,42.3927916666667,-88.0883116666667,2011,8,35,0
17,2011-08-29,42.3924766666667,-88.08821,2011,8,35,0
18,2011-08-29,42.392385,-88.0886966666667,2011,8,35,0
19,2011-08-29,42.3920983333333,-88.0891133333333,2011,8,35,0
20,2011-08-29,42.39218,-88.0894983333333,2011,8,35,0
21,2011-08-29,42.3924283333333,-88.08979,2011,8,35,0
22,2011-08-29,42.3927216666667,-88.0900416666667,2011,8,35,0
23,2011-08-29,42.3929583333333,-88.0903,2011,8,35,0
24,2011-08-29,42.39299,-88.090895,2011,8,35,0
25,2011-08-29,42.3930016666667,-88.0916116666667,2011,8,35,0
26,2011-08-29,42.3930083333333,-88.09201,2011,8,35,0
27,2011-08-29,42.39302,-88.0925483333333,2011,8,35,0
28,2011-08-29,42.3931033333333,-88.0931816666667,2011,8,35,0
29,2011-08-29,42.3931183333333,-88.0937366666667,2011,8,35,0
30,2011-08-29,42.3934233333333,-88.093895,2011,8,35,0
31,2011-08-29,42.3937433333333,-88.094075,2011,8,35,0
32,2011-08-29,42.394105,-88.09425,2011,8,35,0
33,2011-08-29,42.3944783333333,-88.0942233333333,2011,8,35,0
34,2011-08-29,42.39486,-88.0941983333333,2011,8,35,0
35,2011-08-29,42.395085,-88.094515,2011,8,35,0
36,2011-08-29,42.395095,-88.0950266666667,2011,8,35,0
37,2011-08-29,42.3950783333333,-88.09552,2011,8,35,0
38,2011-08-29,42.3953516666667,-88.0957716666667,2011,8,35,0
39,2011-08-29,42.3956966666667,-88.0958333333333,2011,8,35,0
40,2011-08-29,42.3959833333333,-88.0957566666667,2011,8,35,0
41,2011-08-29,42.3952183333333,-88.095685,2011,8,35,0
42,2011-08-29,42.3949316666667,-88.095555,2011,8,35,0
43,2011-08-29,42.3946166666667,-88.0955966666667,2011,8,35,0
44,2011-08-29,42.39429,-88.0956,2011,8,35,0
45,2011-08-29,42.3939566666667,-88.095485,2011,8,35,0
46,2011-08-29,42.3936733333333,-88.0953716666667,2011,8,35,0
47,2011-08-29,42.3933316666667,-88.0952216666667,2011,8,35,0
48,2011-08-29,42.3930366666667,-88.0951433333333,2011,8,35,0
49,2011-08-29,42.3926466666667,-88.0951383333333,2011,8,35,0
50,2011-08-29,42.3923483333333,-88.09514,2011,8,35,0
51,2011-08-29,42.3922366666667,-88.095455,2011,8,35,0
52,2011-08-29,42.3922466666667,-88.09598,2011,8,35,0
53,2011-08-29,42.3924633333333,-88.096435,2011,8,35,0
54,2011-08-29,42.3928383333333,-88.096445,2011,8,35,0
55,2011-08-29,42.3931933333333,-88.0964466666667,2011,8,35,0
56,2011-08-29,42.3934883333333,-88.0962666666667,2011,8,35,0
57,2011-08-29,42.3936033333333,-88.0959166666667,2011,8,35,0
58,2011-08-29,42.3936783333333,-88.0955933333333,2011,8,35,0
59,2011-08-29,42.3925266666667,-88.0951483333333,2011,8,35,0
60,2011-08-29,42.3921966666667,-88.0951633333333,2011,8,35,0
61,2011-08-29,42.39186,-88.09514,2011,8,35,0
62,2011-08-29,42.3915183333333,-88.0951433333333,2011,8,35,0
63,2011-08-29,42.3912966666667,-88.0952033333333,2011,8,35,0
64,2011-08-29,42.391275,-88.0956083333333,2011,8,35,0
65,2011-08-29,42.39127,-88.096035,2011,8,35,0
